Y1050K07H00Z & 1984 04 05.51791 12 09 39.58 -10 03 34.0                cv0586260
Y1050K07H00Z & 1984 04 05.55957 12 09 37.70 -10 02 15.5                cv0586260
Y1050K07H00Z* C2007 04 18.25131 12 58 38.78 -08 13 03.7          19.0 Vru7057G96
Y1050K07H00Z  C2007 04 20.88291 12 56 41.13 -07 02 57.4                cu8220246
Y1050K07H00Z  C2007 04 20.88453 12 56 41.07 -07 02 55.8                cu8220246
Y1050K07H00Z  C2007 04 20.88606 12 56 41.00 -07 02 52.2                cu8220246
Y1050K07H00Z  C2007 04 22.17917 12 55 50.07 -06 29 56.7          19.5 Rru8220448
Y1050K07H00Z  C2007 04 22.19132 12 55 49.48 -06 29 38.4          19.5 Rru8220448
Y1050K07H00Z  C2007 04 22.20347 12 55 48.89 -06 29 20.3          19.3 Rru8220448
Y1050K07H00Z  C2007 04 23.22186 12 55 11.56 -06 04 16.5          19.3 Vru8220703
Y1050K07H00Z  C2007 04 23.23143 12 55 11.13 -06 04 03.7          19.3 Vru8220703
Y1050K07H00Z  C2007 04 23.24101 12 55 10.77 -06 03 48.8          19.6 Vru8220703
Y1050K07H00Z  C2007 04 23.25062 12 55 10.30 -06 03 35.6          19.5 Vru8220703
Y1050K07H00Z  C2007 04 25.87428 12 53 48.14 -05 02 40.0          19.2 Vru8220A17
Y1050K07H00Z  C2007 04 25.88271 12 53 47.83 -05 02 28.4          19.3 Vru8220A17
Y1050K07H00Z  C2007 04 25.89096 12 53 47.57 -05 02 17.4          19.1 Vru8220A17
Y1050K07H00Z  C2007 05 04.19740 12 51 36.27 -02 23 35.4          20.1 Rru9097448
Y1050K07H00Z  C2007 05 04.21954 12 51 36.00 -02 23 13.9          19.7 Rru9097448
Y1050K07H00Z  C2007 05 04.24177 12 51 35.64 -02 22 52.7          20.2 Rru9097448
Y1050K07H00Z  C2007 05 11.20909 12 52 15.14 -00 50 16.0                cu9097711
Y1050K07H00Z  C2007 05 11.21914 12 52 15.20 -00 50 09.5          20.6 Rcu9097711
Y1050K07H00Z  C2007 05 11.22919 12 52 15.27 -00 50 02.1          20.4 Rcu9097711
Y1050K07H00Z  C2007 05 16.19674 12 54 01.22 -00 04 52.8          20.3 Vru9097G96
Y1050K07H00Z  C2007 05 16.20340 12 54 01.36 -00 04 49.8          20.4 Vru9097G96
Y1050K07H00Z  C2007 05 16.21012 12 54 01.51 -00 04 46.8          20.2 Vru9097G96
Y1050K07H00Z  C2007 05 16.21675 12 54 01.62 -00 04 44.1          20.4 Vru9097G96
Y1050K07H00Z  C2007 06 06.11591913 11 15.70 +00 35 23.0          21.7  ov0586H55
Y1050K07H00Z  C2007 06 06.12554413 11 16.37 +00 35 21.4          21.9  ov0586H55
Y1050K07H00Z  C2007 06 06.13524413 11 16.92 +00 35 19.9          21.6  ov0586H55
Y1050K07H00Z  C2009 09 21.46249 04 41 05.56 +23 42 19.5          20.9 Vr~09LEG96
Y1050K07H00Z  C2009 09 21.47112 04 41 07.04 +23 42 17.0          20.4 Vr~09LEG96
Y1050K07H00Z  C2009 09 21.47966 04 41 08.52 +23 42 13.7          21.0 Vr~09LEG96
Y1050K07H00Z  C2009 09 30.37663 05 07 22.98 +22 32 00.7          20.1 Vr~09cbG96
Y1050K07H00Z  C2009 09 30.38270 05 07 23.98 +22 31 57.3          20.0 Vr~09cbG96
Y1050K07H00Z  C2009 09 30.38878 05 07 25.06 +22 31 53.5          20.7 Vr~09cbG96
Y1050K07H00Z  C2009 09 30.43483 05 07 32.84 +22 31 26.4          19.9 Vr~09cbG96
Y1050K07H00Z  C2009 09 30.44148 05 07 33.99 +22 31 22.1          19.9 Vr~09cbG96
Y1050K07H00Z  C2009 09 30.44806 05 07 35.11 +22 31 18.0          21.1 Vr~09cbG96
Y1050K07H00Z  C2009 09 30.45476 05 07 36.22 +22 31 14.0          20.0 Vr~09cbG96
Y1050K07H00Z  C2009 12 04.32419 07 34 16.02 -07 04 04.6          18.7 Vo~0C8LH21
Y1050K07H00Z  C2009 12 04.32941 07 34 16.31 -07 04 16.3          19.0 Vo~0C8LH21
Y1050K07H00Z  C2009 12 04.33410 07 34 16.59 -07 04 26.6          19.3 Vo~0C8LH21
Y1050K07H00Z  C2009 12 29.30887 07 47 12.35 -20 28 23.1          18.8 Vo~0CrzH21
Y1050K07H00Z  C2009 12 29.31161 07 47 12.31 -20 28 26.7          18.8 Vo~0CrzH21
Y1050K07H00Z  C2009 12 29.31308 07 47 12.29 -20 28 28.6          19.1 Vo~0CrzH21
Y1050K07H00Z  C2009 12 29.31728 07 47 12.23 -20 28 34.6          19.0 Vo~0CrzH21
Y1050K07H00Z  C2010 01 03.28476707 46 37.55 -22 06 56.2          19.1 Vo~0CrzH21
Y1050K07H00Z  C2010 01 03.28964907 46 37.44 -22 07 01.8          19.0 Vo~0CrzH21
Y1050K07H00Z  C2010 01 03.29444407 46 37.34 -22 07 06.9          18.7 Vo~0CrzH21
Y1050K07H00Z  C2010 01 31.21749707 39 04.87 -21 59 04.2          17.8 Vo~0DfDH21
Y1050K07H00Z  C2010 01 31.22212607 39 04.83 -21 58 59.6          18.7 Vo~0DfDH21
Y1050K07H00Z  C2010 01 31.22570007 39 04.78 -21 58 55.9          18.1 Vo~0DfDH21
Y1050K07H00Z  C2010 01 31.22895307 39 04.76 -21 58 53.3          17.9 Vo~0DfDH21
Y1050K07H00Z  C2010 04 02.29850309 02 31.811+03 43 43.13         19.44zL~0K85F51
Y1050K07H00Z  C2010 04 02.30814709 02 32.981+03 43 50.04         19.80zL~0K85F51
Y1050K07H00Z  C2012 09 15.02439 01 52 36.88 +22 01 52.8          19.9 Vu~0iipD00
Y1050K07H00Z  C2012 09 15.05552 01 52 37.52 +22 01 44.9          20.0 Vu~0iipD00
Y1050K07H00Z  C2012 09 15.06575 01 52 37.80 +22 01 42.5          20.0 Vu~0iipD00
Y1050K07H00Z  C2012 09 16.41973 01 53 15.25 +21 54 50.7          19.6 Ru~0iipH15
Y1050K07H00Z  C2012 09 16.43462 01 53 15.53 +21 54 46.6          19.4 Ru~0iipH15
Y1050K07H00Z  C2012 09 16.45134 01 53 15.87 +21 54 40.5          19.4 Ru~0iipH15
Y1050K07H00Z  C2012 09 16.46685 01 53 16.19 +21 54 34.6          19.5 Ru~0iipH15
Y1050K07H00Z  C2012 10 08.32234 01 51 06.15 +16 49 25.0          18.8 Vr~0jIn703
Y1050K07H00Z  C2012 10 08.32741 01 51 05.86 +16 49 16.7          19.1 Vr~0jIn703
Y1050K07H00Z  C2012 10 08.33242 01 51 05.61 +16 49 09.9          18.8 Vr~0jIn703
Y1050K07H00Z  C2012 10 08.33743 01 51 05.40 +16 49 03.9          19.0 Vr~0jIn703
Y1050K07H00Z  c2012 10 11.35329601 49 03.946+15 35 13.20         19.0 wL~0jYqF51
Y1050K07H00Z  c2012 10 11.36831401 49 03.134+15 34 50.35         18.8 wL~0jYqF51
Y1050K07H00Z  c2012 10 11.38330101 49 02.312+15 34 27.46         19.0 wL~0jYqF51
Y1050K07H00Z  c2012 10 11.39837601 49 01.479+15 34 04.39         18.8 wL~0jYqF51
Y1050K07H00Z  C2012 10 16.29743 01 45 01.00 +13 18 15.7          18.5 Vr~0jYq703
Y1050K07H00Z  C2012 10 16.30309 01 45 00.68 +13 18 05.6          18.5 Vr~0jYq703
Y1050K07H00Z  C2012 10 16.30878 01 45 00.32 +13 17 55.5          18.7 Vr~0jYq703
Y1050K07H00Z  C2012 10 16.31444 01 45 00.00 +13 17 45.1          18.6 Vr~0jYq703
Y1050K07H00Z  C2012 10 20.32163 01 41 18.07 +11 14 42.2          18.5 Rq~0kHTH45
Y1050K07H00Z  C2012 10 20.32310 01 41 18.00 +11 14 39.5          18.5 Rq~0kHTH45
Y1050K07H00Z  C2012 10 20.32430 01 41 17.91 +11 14 37.3          18.6 Rq~0kHTH45
Y1050K07H00Z  C2012 10 20.32530 01 41 17.84 +11 14 35.6          18.5 Rq~0kHTH45
Y1050K07H00Z  C2012 10 20.32642 01 41 17.78 +11 14 33.1          18.7 Rq~0kHTH45
Y1050K07H00Z  C2012 10 21.01747 01 40 38.67 +10 52 24.0          17.6 Rr~0kHT106
Y1050K07H00Z  C2012 10 21.03119 01 40 37.75 +10 51 57.6          17.5 Rr~0kHT106
Y1050K07H00Z  C2012 10 21.04490 01 40 36.86 +10 51 31.3          17.8 Rr~0kHT106
Y1050K07H00Z  C2012 10 21.05863 01 40 35.99 +10 51 03.4          18.5 Rr~0kHT106
Y1050K07H00Z  C2012 10 22.14753 01 39 36.07 +10 15 59.0          18.8 Vo~0kHT691
Y1050K07H00Z  C2012 10 22.16522 01 39 34.93 +10 15 25.1          18.8 Vo~0kHT691
Y1050K07H00Z  C2012 10 22.18290 01 39 33.76 +10 14 50.7          18.8 Vo~0kHT691
Y1050K07H00Z  C2012 10 22.27869 01 39 27.25 +10 11 44.3          18.4 Vr~0kHTG96
Y1050K07H00Z  C2012 10 22.28383 01 39 26.89 +10 11 34.3          18.3 Vr~0kHTG96
Y1050K07H00Z  C2012 10 22.28897 01 39 26.53 +10 11 24.1          18.3 Vr~0kHTG96
Y1050K07H00Z  C2012 10 22.29418 01 39 26.17 +10 11 14.0          18.3 Vr~0kHTG96
