     K08Q11S* C2008 08 27.63741 00 24 24.30 -41 48 58.8          18.3 Vrz4639E12
     K08Q11S  C2008 09 14.19850 01 04 46.56 -41 22 24.8                rz8044808
     K08Q11S  C2008 09 14.20660 01 04 48.05 -41 22 15.1                rz8044808
     K08Q11S  C2008 09 14.21632 01 04 49.85 -41 22 06.2                rz8044808
     K08Q11S  C2008 09 15.18459 01 08 30.93 -41 04 29.2          16.8 Rrz6798I77
     K08Q11S  C2008 09 15.18924 01 08 31.89 -41 04 23.2          16.7 Rrz6798I77
     K08Q11S  C2008 09 15.19335 01 08 32.74 -41 04 17.5          16.4 Rrz6798I77
     K08Q11S  C2008 09 15.20208 01 08 37.23 -41 03 48.7                rz8044808
     K08Q11S  C2008 09 15.20521 01 08 37.70 -41 03 46.4                rz8044808
     K08Q11S  C2008 09 15.21667 01 08 40.19 -41 03 32.5                rz8044808
     K08Q11S  C2008 09 17.64860 01 19 31.132-40 00 49.88         16.3 Rrz6799E12
     K08Q11S  C2008 09 17.65044 01 19 31.604-40 00 46.29         16.4 Rrz6799E12
     K08Q11S  C2008 09 17.79350 01 20 09.557-39 55 48.00         16.4 Rrz6799E12
     K08Q11S  C2008 09 17.79536 01 20 10.081-39 55 43.95         16.3 Rrz6799E12
     K08Q11S  C2008 09 18.41213 01 23 36.48 -39 33 41.9                jz8044E09
     K08Q11S  C2008 09 18.42312 01 23 40.02 -39 33 20.5                jz8044E09
     K08Q11S  C2008 09 18.43411 01 23 43.53 -39 32 59.6                jz8044E09
     K08Q11S  C2008 09 18.44511 01 23 46.91 -39 32 38.9                jz8044E09
     K08Q11S  C2008 09 18.45609 01 23 50.36 -39 32 17.7                jz8044E09
     K08Q11S  C2008 09 18.46709 01 23 53.80 -39 31 56.1                jz8044E09
     K08Q11S  C2008 09 18.47809 01 23 57.22 -39 31 34.5                jz8044E09
     K08Q11S  C2008 09 18.48908 01 24 00.51 -39 31 13.2                jz8044E09
     K08Q11S  C2008 09 18.50008 01 24 03.85 -39 30 51.3                jz8044E09
     K08Q11S  C2008 09 18.51108 01 24 07.16 -39 30 29.4                jz8044E09
     K08Q11S  C2008 09 18.57651 01 24 26.446-39 28 13.74         16.3 Rrz6799E12
     K08Q11S  C2008 09 18.57842 01 24 26.995-39 28 09.77         16.3 Rrz6799E12
     K08Q11S  C2008 09 19.41247 01 29 19.25 -38 52 53.9                j~00AfE09
     K08Q11S  C2008 09 19.42348 01 29 23.18 -38 52 27.9                j~00AfE09
     K08Q11S  C2008 09 19.43449 01 29 27.05 -38 52 02.2                j~00AfE09
     K08Q11S  C2008 09 19.44549 01 29 30.92 -38 51 36.1                j~00AfE09
     K08Q11S  C2008 09 19.45650 01 29 34.80 -38 51 09.8                j~00AfE09
     K08Q11S  C2008 09 19.46752 01 29 38.60 -38 50 43.6                j~00AfE09
     K08Q11S  C2008 09 19.47853 01 29 42.35 -38 50 17.2                j~00AfE09
     K08Q11S  C2008 09 19.48953 01 29 46.16 -38 49 50.3                j~00AfE09
     K08Q11S  C2008 09 19.50055 01 29 49.85 -38 49 23.5                j~00AfE09
     K08Q11S  C2008 09 19.51159 01 29 53.53 -38 48 56.9                j~00AfE09
     K08Q11S  C2008 09 19.57129 01 30 13.26 -38 46 24.9                 z6799E10
     K08Q11S  C2008 09 19.57210 01 30 13.52 -38 46 22.9                 z6799E10
     K08Q11S  C2008 09 19.57283 01 30 13.80 -38 46 20.7                 z6799E10
     K08Q11S  C2008 09 19.57372 01 30 14.05 -38 46 18.7                 z6799E10
     K08Q11S  C2008 09 19.57450 01 30 14.30 -38 46 16.5                 z6799E10
     K08Q11S  C2008 09 19.57532 01 30 14.57 -38 46 14.5                 z6799E10
     K08Q11S  C2008 09 19.60524 01 30 24.30 -38 44 55.6          16.3 Rrz6799E12
     K08Q11S  C2008 09 19.61611 01 30 27.81 -38 44 26.2          16.3 Rrz6799E12
     K08Q11S  C2008 09 19.62708 01 30 31.35 -38 43 56.4          16.2 Rrz6799E12
     K08Q11S  C2008 09 19.63807 01 30 34.89 -38 43 26.1          16.2 Rrz6799E12
     K08Q11S  C2008 09 20.41288 01 35 41.65 -38 03 28.4                j~00AfE09
     K08Q11S  C2008 09 20.42392 01 35 46.15 -38 02 55.9                j~00AfE09
     K08Q11S  C2008 09 20.43495 01 35 50.46 -38 02 24.1                j~00AfE09
     K08Q11S  C2008 09 20.44598 01 35 54.88 -38 01 51.7                j~00AfE09
     K08Q11S  C2008 09 20.45701 01 35 59.16 -38 01 19.5                j~00AfE09
     K08Q11S  C2008 09 20.46805 01 36 03.45 -38 00 46.8                j~00AfE09
     K08Q11S  C2008 09 20.47908 01 36 07.72 -38 00 14.0                j~00AfE09
     K08Q11S  C2008 09 20.49012 01 36 11.94 -37 59 41.1                j~00AfE09
     K08Q11S  C2008 09 20.50116 01 36 16.10 -37 59 08.1                j~00AfE09
     K08Q11S  C2008 09 20.51221 01 36 20.28 -37 58 34.5                j~00AgE09
     K08Q11S  C2008 09 21.42259 01 42 55.33 -37 02 42.3                j~00AgE09
     K08Q11S  C2008 09 21.43365 01 43 00.31 -37 02 02.5                j~00AgE09
     K08Q11S  C2008 09 21.44471 01 43 05.33 -37 01 21.1                j~00AgE09
     K08Q11S  C2008 09 21.45578 01 43 10.15 -37 00 41.6                j~00AgE09
     K08Q11S  C2008 09 21.46683 01 43 15.04 -37 00 00.4                j~00AgE09
     K08Q11S  C2008 09 21.47790 01 43 19.85 -36 59 20.1                j~00AgE09
     K08Q11S  C2008 09 21.48896 01 43 24.71 -36 58 38.6                j~00AgE09
     K08Q11S  C2008 09 21.50002 01 43 29.41 -36 57 58.4                j~00AgE09
     K08Q11S  C2008 09 21.51110 01 43 34.21 -36 57 16.8                j~00AgE09
     K08Q11S  C2008 09 21.52221 01 43 38.95 -36 56 34.7                j~00AgE09
     K08Q11S  C2008 09 21.59991 01 44 11.536-36 51 32.56         15.8 Vrz6799E12
     K08Q11S  C2008 09 21.60170 01 44 12.279-36 51 25.41         15.8 Vrz6799E12
     K08Q11S  C2008 09 24.55039 02 12 11.54 -32 06 34.7                j~00AgE09
     K08Q11S  C2008 09 24.56307 02 12 19.62 -32 04 58.4                j~00AgE09
     K08Q11S  C2008 09 24.57437 02 12 26.81 -32 03 32.4                j~00AgE09
     K08Q11S  C2008 09 24.58266 02 12 32.09 -32 02 28.1                j~00AgE09
     K08Q11S  C2008 09 25.20411 02 19 58.32 -30 33 52.0          14.8 Rrz6799I77
     K08Q11S  C2008 09 25.20466 02 19 58.73 -30 33 47.1          14.8 Rrz6799I77
     K08Q11S  C2008 09 25.20519 02 19 59.08 -30 33 42.7          14.9 Rrz6799I77
     K08Q11S  C2008 09 25.20572 02 19 59.44 -30 33 37.3          15.0 Rrz6799I77
     K08Q11S  C2008 09 25.20625 02 19 59.72 -30 33 31.8          15.3 Rrz6799I77
     K08Q11S  C2008 09 25.20678 02 20 00.17 -30 33 27.7          15.0 Rrz6799I77
     K08Q11S  C2008 09 25.20730 02 20 00.51 -30 33 22.3          14.8 Rrz6799I77
     K08Q11S  C2008 09 25.20784 02 20 00.90 -30 33 17.8          14.8 Rrz6799I77
     K08Q11S  C2008 09 25.20836 02 20 01.25 -30 33 13.3          14.7 Rrz6799I77
     K08Q11S  C2008 09 25.20889 02 20 01.58 -30 33 07.8          14.7 Rrz6799I77
     K08Q11S  C2008 09 25.53958 02 24 28.14 -29 38 46.3                j~00AgE09
     K08Q11S  C2008 09 25.55231 02 24 37.60 -29 36 42.5                j~00AgE09
     K08Q11S  C2008 09 25.56675 02 24 48.37 -29 34 20.9                j~00AgE09
     K08Q11S  C2008 09 25.57697 02 24 56.07 -29 32 38.8                j~00AgE09
     K08Q11S  C2008 09 25.58723 02 25 03.69 -29 30 57.2                j~00AgE09
     K08Q11S  C2008 09 25.59211 02 25 07.31 -29 30 07.9                j~00AgE09
     K08Q11S  C2008 09 25.59360 02 25 08.47 -29 29 53.1                j~00AgE09
     K08Q11S  C2008 09 25.59509 02 25 09.55 -29 29 37.9                j~00AgE09
     K08Q11S  C2008 09 25.59657 02 25 10.64 -29 29 23.4                j~00AgE09
     K08Q11S  C2008 09 25.59805 02 25 11.71 -29 29 08.4                j~00AgE09
     K08Q11S  C2008 09 25.59954 02 25 12.80 -29 28 54.7                j~00AgE09
     K08Q11S  C2008 09 25.60102 02 25 13.91 -29 28 39.0                j~00AgE09
     K08Q11S  C2008 09 25.60251 02 25 15.07 -29 28 23.4                j~00AgE09
     K08Q11S  C2008 09 25.60399 02 25 16.16 -29 28 09.0                j~00AgE09
     K08Q11S  C2008 09 25.62760 02 25 33.64 -29 24 09.9                 z6799E10
     K08Q11S  C2008 09 25.62891 02 25 34.58 -29 23 57.0                 z6799E10
     K08Q11S  C2008 09 25.63020 02 25 35.63 -29 23 43.5                 z6799E10
     K08Q11S  C2008 09 25.63148 02 25 36.51 -29 23 30.9                 z6799E10
     K08Q11S  C2008 09 25.72185202 26 43.774-29 07 47.02         14.9 Vrz6799E12
     K08Q11S  C2008 09 25.72352102 26 45.018-29 07 29.29         14.9 Vrz6799E12
     K08Q11S  C2008 09 26.46520 02 37 45.66 -26 43 02.7                j~00AgE09
     K08Q11S  C2008 09 26.47795 02 37 57.19 -26 40 24.7                j~00AgE09
     K08Q11S  C2008 09 26.49108 02 38 08.95 -26 37 42.5                j~00AgE09
     K08Q11S  C2008 09 26.50384 02 38 20.41 -26 35 04.5                j~00AgE09
     K08Q11S  C2008 09 26.51661 02 38 31.71 -26 32 25.2                j~00AgE09
     K08Q11S  C2008 09 26.52940 02 38 43.07 -26 29 44.6                j~00AgE09
     K08Q11S  C2008 09 26.54218 02 38 54.44 -26 27 03.0                j~00AgE09
     K08Q11S  C2008 09 26.55497 02 39 05.69 -26 24 20.9                j~00AgE09
     K08Q11S  C2008 09 26.56626 02 39 15.65 -26 21 56.8                j~00AgE09
     K08Q11S  C2008 09 26.57605 02 39 24.19 -26 19 51.2                j~00AgE09
     K08Q11S  C2008 09 26.58281 02 39 30.03 -26 18 26.0                j~00AgE09
     K08Q11S  C2008 09 26.58765 02 39 34.33 -26 17 22.5                j~00AgE09
     K08Q11S  C2008 09 26.58914 02 39 35.61 -26 17 03.2                j~00AgE09
     K08Q11S  C2008 09 26.59063 02 39 36.91 -26 16 42.8                j~00AgE09
     K08Q11S  C2008 09 26.59211 02 39 38.15 -26 16 25.5                j~00AgE09
     K08Q11S  C2008 09 26.79183502 42 33.926-25 31 21.43         14.7 Vrz8044E12
     K08Q11S  C2008 09 26.79346002 42 35.402-25 30 58.47         14.7 Vrz8044E12
     K08Q11S  C2008 09 27.47669 02 54 34.98 -22 37 35.1                j~00AgE09
     K08Q11S  C2008 09 27.48950 02 54 48.59 -22 34 07.8                j~00AgE09
     K08Q11S  C2008 09 27.50231 02 55 02.05 -22 30 40.0                j~00AgE09
     K08Q11S  C2008 09 27.51533 02 55 15.74 -22 27 07.0                j~00AgE09
     K08Q11S  C2008 09 27.52815 02 55 29.05 -22 23 37.6                j~00AgE09
     K08Q11S  C2008 09 27.54098 02 55 42.48 -22 20 06.0                j~00AgE09
     K08Q11S  C2008 09 27.55382 02 55 55.75 -22 16 34.7                j~00AgE09
     K08Q11S  C2008 09 27.56512 02 56 07.49 -22 13 26.6                j~00AgE09
     K08Q11S  C2008 09 27.57341 02 56 16.06 -22 11 08.9                j~00AgE09
     K08Q11S  C2008 09 27.57693 02 56 19.70 -22 10 10.8                j~00AgE09
     K08Q11S  C2008 09 27.58045 02 56 23.34 -22 09 11.7                j~00AgE09
     K08Q11S  C2008 09 27.58523 02 56 28.29 -22 07 51.1                j~00AgE09
     K08Q11S  C2008 09 27.58672 02 56 29.84 -22 07 25.8                j~00AgE09
     K08Q11S  C2008 09 27.58820 02 56 31.38 -22 07 00.9                j~00AgE09
     K08Q11S  C2008 09 27.58968 02 56 32.89 -22 06 37.1                j~00AgE09
     K08Q11S  C2008 09 27.78761702 59 57.777-21 08 54.17         14.5 Vrz8044E12
     K08Q11S  C2008 09 27.78905202 59 59.298-21 08 27.85         14.4 Vrz8044E12
     K08Q11S  C2008 09 28.05002 03 05 10.65 -19 52 00.0          14.4 Vcz8044A55
     K08Q11S  C2008 09 28.05485 03 05 15.99 -19 50 28.3          14.4 Vcz8044A55
     K08Q11S  C2008 09 28.05966 03 05 21.29 -19 48 56.5          14.5 Vcz8044A55
     K08Q11S  C2008 09 28.49850 03 14 31.40 -17 14 55.4                j~00AgE09
     K08Q11S  C2008 09 28.50417 03 14 17.48 -17 17 34.5          14.3 Vrz8044703
     K08Q11S  C2008 09 28.50616 03 14 19.86 -17 16 51.4          14.3 Vrz8044703
     K08Q11S  C2008 09 28.50817 03 14 22.23 -17 16 07.5          14.3 Vrz8044703
     K08Q11S  C2008 09 28.51013 03 14 24.57 -17 15 25.3          14.3 Vrz8044703
     K08Q11S  C2008 09 28.51138 03 14 47.67 -17 10 15.5                j~00AgE09
     K08Q11S  C2008 09 28.52427 03 15 03.26 -17 05 48.6                j~00AgE09
     K08Q11S  C2008 09 28.53718 03 15 19.15 -17 01 13.2                j~00AgE09
     K08Q11S  C2008 09 28.55009 03 15 34.96 -16 56 35.4                j~00AgE09
     K08Q11S  C2008 09 28.55828 03 15 45.02 -16 53 39.5                j~00AgE09
     K08Q11S  C2008 09 28.56807 03 15 56.85 -16 50 08.2                j~00AgE09
     K08Q11S  C2008 09 28.57482 03 16 05.17 -16 47 42.6                j~00AgE09
     K08Q11S  C2008 09 28.57955 03 16 10.89 -16 45 58.3                j~00AgE09
     K08Q11S  C2008 09 28.58104 03 16 12.78 -16 45 26.3                j~00AgE09
     K08Q11S  C2008 09 28.58252 03 16 14.53 -16 44 53.9                j~00AgE09
     K08Q11S  C2008 09 28.58400 03 16 16.43 -16 44 22.3                j~00AgE09
     K08Q11S  C2008 09 28.58548 03 16 18.21 -16 43 49.8                j~00AgE09
     K08Q11S  C2008 09 28.58696 03 16 20.04 -16 43 16.9                j~00AgE09
     K08Q11S  C2008 09 28.58845 03 16 21.82 -16 42 45.6                j~00AgE09
     K08Q11S  C2008 09 28.75851 03 19 48.63 -15 39 09.4                j~00AgE09
     K08Q11S  C2008 09 28.76827 03 20 00.61 -15 35 22.5                j~00AgE09
     K08Q11S  C2008 09 28.77645 03 20 10.69 -15 32 12.3                j~00AgE09
     K08Q11S  C2008 09 29.00516 03 25 30.67 -14 06 51.4                oz8044046
     K08Q11S  C2008 09 29.00832 03 25 34.81 -14 05 35.0                oz8044046
     K08Q11S  C2008 09 29.01145 03 25 38.92 -14 04 18.9                oz8044046
     K08Q11S  C2008 09 29.01467 03 25 43.09 -14 03 00.6                oz8044046
     K08Q11S  C2008 09 29.01785 03 25 47.24 -14 01 43.1                oz8044046
     K08Q11S  C2008 09 29.02097 03 25 51.33 -14 00 27.5                oz8044046
     K08Q11S  C2008 09 29.02335 03 25 54.46 -13 59 29.1                oz8044046
     K08Q11S  C2008 09 29.02602 03 25 57.95 -13 58 24.2                oz8044046
     K08Q11S  C2008 09 29.02768 03 26 00.11 -13 57 43.9                oz8044046
     K08Q11S  C2008 09 29.02811 03 26 00.65 -13 57 33.0                oz8044046
     K08Q11S  C2008 09 29.02851 03 26 01.20 -13 57 23.0                oz8044046
     K08Q11S  C2008 09 29.02888 03 26 01.68 -13 57 14.1                oz8044046
     K08Q11S  C2008 09 29.24423 03 30 59.29 -12 22 41.2          13.7 Rrz8044I77
     K08Q11S  C2008 09 29.24458 03 30 59.74 -12 22 32.3          13.7 Rrz8044I77
     K08Q11S  C2008 09 29.24494 03 31 00.20 -12 22 22.8          14.0 Rrz8044I77
     K08Q11S  C2008 09 29.24530 03 31 00.68 -12 22 13.9          13.7 Rrz8044I77
     K08Q11S  C2008 09 29.24565 03 31 01.18 -12 22 04.3          13.8 Rrz8044I77
     K08Q11S  C2008 09 29.24601 03 31 01.65 -12 21 55.2          13.8 Rrz8044I77
     K08Q11S  C2008 09 29.24637 03 31 02.12 -12 21 45.7          13.8 Rrz8044I77
     K08Q11S  C2008 09 29.24673 03 31 02.60 -12 21 36.4          13.7 Rrz8044I77
     K08Q11S  C2008 09 29.24709 03 31 03.06 -12 21 27.4          13.7 Rrz8044I77
     K08Q11S  C2008 09 29.24744 03 31 03.56 -12 21 18.6          13.7 Rrz8044I77
     K08Q11S  C2008 09 29.24780 03 31 04.01 -12 21 09.3          13.7 Rrz8044I77
     K08Q11S  C2008 09 29.24815 03 31 04.46 -12 20 59.9          13.7 Rrz8044I77
     K08Q11S  C2008 09 29.24851 03 31 04.93 -12 20 50.5          13.7 Rrz8044I77
     K08Q11S  C2008 09 29.24887 03 31 05.35 -12 20 41.7          14.2 Rrz8044I77
     K08Q11S  C2008 09 29.24923 03 31 05.90 -12 20 32.2          13.6 Rrz8044I77
     K08Q11S  C2008 09 29.24959 03 31 06.34 -12 20 22.7          13.6 Rrz8044I77
     K08Q11S  C2008 09 29.24995 03 31 06.83 -12 20 13.6          13.8 Rrz8044I77
     K08Q11S  C2008 09 29.25031 03 31 07.31 -12 20 04.4          13.7 Rrz8044I77
     K08Q11S  C2008 09 29.25065 03 31 07.75 -12 19 55.4          13.7 Rrz8044I77
     K08Q11S  C2008 09 29.25101 03 31 08.26 -12 19 45.9          13.7 Rrz8044I77
     K08Q11S  C2008 09 29.25137 03 31 08.71 -12 19 36.5          13.8 Rrz8044I77
     K08Q11S  C2008 09 29.25173 03 31 09.25 -12 19 26.9          14.0 Rrz8044I77
     K08Q11S  C2008 09 29.25209 03 31 09.64 -12 19 18.4          13.8 Rrz8044I77
     K08Q11S  C2008 09 29.25245 03 31 10.12 -12 19 09.1          13.8 Rrz8044I77
     K08Q11S  C2008 09 29.25281 03 31 10.61 -12 18 59.7          13.8 Rrz8044I77
     K08Q11S  C2008 09 29.52153 03 37 56.51 -10 18 17.3                j~00AgE09
     K08Q11S  C2008 09 29.53305 03 38 13.21 -10 13 02.5                j~00AgE09
     K08Q11S  C2008 09 29.54457 03 38 29.91 -10 07 47.3                j~00AgE09
     K08Q11S  C2008 09 29.55610 03 38 46.46 -10 02 31.9                j~00AgE09
     K08Q11S  C2008 09 29.56833 03 39 04.00 -09 56 55.9                j~00AgE09
     K08Q11S  C2008 09 29.57368 03 39 11.71 -09 54 27.2                j~00AgE09
     K08Q11S  C2008 09 29.57903 03 39 19.37 -09 51 59.7                j~00AgE09
     K08Q11S  C2008 09 29.58196 03 39 23.53 -09 50 40.1                j~00AgE09
     K08Q11S  C2008 09 29.58486 03 39 27.67 -09 49 20.8                j~00AgE09
     K08Q11S  C2008 09 29.58886 03 39 33.46 -09 47 29.0                j~00AgE09
     K08Q11S  C2008 09 29.59035 03 39 35.53 -09 46 47.5                j~00AgE09
     K08Q11S  C2008 09 29.59183 03 39 37.66 -09 46 07.0                j~00AgE09
     K08Q11S  C2008 09 29.59332 03 39 39.75 -09 45 26.3                j~00AgE09
     K08Q11S  C2008 09 29.59481 03 39 41.94 -09 44 44.1                j~00AgE09
     K08Q11S  C2008 09 29.59629 03 39 44.05 -09 44 02.4                j~00AgE09
     K08Q11S  C2008 09 29.61644 03 40 12.85 -09 34 41.7                j~00AgE09
     K08Q11S  C2008 09 29.62895 03 40 30.51 -09 28 53.5                j~00AgE09
     K08Q11S  C2008 09 29.63953 03 40 46.96 -09 28 59.0          14.5  mz8044D89
     K08Q11S  C2008 09 29.64146 03 40 48.37 -09 23 02.3                j~00AgE09
     K08Q11S  C2008 09 29.64246 03 40 51.14 -09 27 37.4          14.5  mz8044D89
     K08Q11S  C2008 09 29.64300 03 40 51.94 -09 27 22.1          14.5  mz8044D89
     K08Q11S  C2008 09 29.64353 03 40 52.70 -09 27 07.4          14.5  mz8044D89
     K08Q11S  C2008 09 29.64487 03 40 54.62 -09 26 29.3          14.6  mz8044D89
     K08Q11S  C2008 09 29.64724 03 40 58.00 -09 25 23.5          14.3  mz8044D89
     K08Q11S  C2008 09 29.65396 03 41 06.08 -09 17 11.2                j~00AgE09
     K08Q11S  C2008 09 29.67897 03 41 41.72 -09 05 22.6                j~00AgE09
     K08Q11S  C2008 09 29.69147 03 41 59.41 -08 59 28.9                j~00AgE09
     K08Q11S  C2008 09 29.71642 03 42 35.01 -08 47 35.7                j~00AgE09
     K08Q11S  C2008 09 29.72794 03 42 51.49 -08 42 04.8                j~00AgE09
     K08Q11S  C2008 09 29.73947 03 43 07.96 -08 36 33.0                j~00AgE09
     K08Q11S  C2008 09 29.75100 03 43 24.49 -08 31 00.3                j~00AgE09
     K08Q11S  C2008 09 29.76252 03 43 41.02 -08 25 27.9                j~00AgE09
     K08Q11S  C2008 09 29.77024 03 43 52.16 -08 21 43.7                j~00AgE09
     K08Q11S  C2008 09 29.77708 03 44 02.08 -08 18 24.6                j~00AgE09
     K08Q11S %C2008 09 30.43584 04 01 51.82 -02 44 21.3          13.8 Rrz8044H06
     K08Q11S %C2008 09 30.44182 04 02 01.31 -02 41 06.2          13.7 Rrz8044H06
     K08Q11S  C2008 09 30.55071 04 05 23.03 -01 35 51.0                j~00AgE09
     K08Q11S  C2008 09 30.57141 04 05 57.45 -01 24 23.2                j~00AgE09
     K08Q11S  C2008 09 30.57676 04 06 06.33 -01 21 23.0                j~00AgE09
     K08Q11S  C2008 09 30.57976 04 06 11.40 -01 19 42.6                j~00AgE09
     K08Q11S  C2008 09 30.58367 04 06 17.88 -01 17 32.3                j~00AgE09
     K08Q11S  C2008 09 30.58517 04 06 20.32 -01 16 43.3                j~00AgE09
     K08Q11S  C2008 09 30.58665 04 06 22.73 -01 15 54.1                j~00AgE09
